id;id_client;firstname_client;lastname_client;email_client;phone_country_code_client;phone_client;address_c
1;reciprocal withdrawal;"Mrdvic";"Qpuzkv";"tV@9rA\=XZuEs";65665;94127;Grocery
2;a Aquitaine iterate;"Wmapuv";"Glup";"0@73\zfO";59225;37124;c
3;Account Concrete;"Dzbs";"Spdefj";"XFGg@1\NfN";44397;4902;transitional Multi-layered Hryvnia
4;orange;"Vln";"Iuo";"a@9D9\vml";63908;73059;Borders
5;neural a Avon;"Ha";"Fayacj";"lse@lx\wFsA";11061;25806;b withdrawal Wooden
6;Coordinateur SCSI Executif;"Rzanpcq";"Yeepb";"c@SG98G\LSpF";5535;78801;copying viral systems
7;invoice cohesive;"Jjfvp";"Npdv";"9@lZARBx\0FN";61522;19452;program
8;Chips Dinar withdrawal;"Tcfu";"Rpicc";"4vcVM@ILTiI\WIDv";80594;53105;b
9;Ingenieur Money;"Sa";"Alhw";"hYUCG@GA2q\-xzK";75373;94780;white
10;payment deploy;"Shkc";"Nkfx";"aEOypa@kEPaFk\xAQRGF";70113;50921;implement to interface
